,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU4030,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4031,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4032,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4033,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4034,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium,Unclassified
OTU4035,k__Bacteria,p__BRC1,Unclassified,Unclassified,Unclassified,g__BRC1_genera_incertae_sedis,Unclassified
OTU4036,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,Unclassified,Unclassified,Unclassified
OTU4037,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4038,k__Bacteria,p__Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4039,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4040,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4041,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp7,Unclassified,Unclassified,g__Gp7,Unclassified
OTU4042,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4043,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,Unclassified,Unclassified,Unclassified
OTU4044,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4045,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,Unclassified
OTU4046,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Alkalibacter,Unclassified
OTU4047,k__Bacteria,p__Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4048,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Luteolibacter,Unclassified
OTU4049,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4050,k__Bacteria,p__Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4051,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,Unclassified
OTU4052,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__Aquicella,Unclassified
OTU4053,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Belnapia,Unclassified
OTU4054,k__Bacteria,p__Parcubacteria,Unclassified,Unclassified,Unclassified,g__Parcubacteria_genera_incertae_sedis,Unclassified
OTU4055,k__Bacteria,p__Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4056,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae_1,g__Paenibacillus,Unclassified
OTU4057,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,Unclassified
OTU4058,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,Unclassified,Unclassified,Unclassified
OTU4059,k__Bacteria,p__candidate_division_WPS-1,Unclassified,Unclassified,Unclassified,g__WPS-1_genera_incertae_sedis,Unclassified
OTU4060,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp17,Unclassified,Unclassified,g__Gp17,Unclassified
OTU4061,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,Unclassified,Unclassified
OTU4062,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Gaiellales,f__Gaiellaceae,g__Gaiella,Unclassified
OTU4063,k__Bacteria,p__Parcubacteria,Unclassified,Unclassified,Unclassified,g__Parcubacteria_genera_incertae_sedis,Unclassified
OTU4064,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae,g__Roseiflexus,Unclassified
OTU4065,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4066,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4067,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp4,Unclassified,Unclassified,g__Gp4,Unclassified
OTU4068,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4069,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Vampirovibrio,Unclassified
OTU4070,k__Bacteria,p__Actinobacteria,c__Actinobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4071,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4072,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Thermoactinomycetaceae_1,g__Melghirimyces,Unclassified
OTU4073,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4074,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,Unclassified,Unclassified,g__Terrimicrobium,Unclassified
OTU4075,k__Bacteria,p__candidate_division_WPS-1,Unclassified,Unclassified,Unclassified,g__WPS-1_genera_incertae_sedis,Unclassified
OTU4076,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU4077,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU4078,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4079,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae_1,g__Paenibacillus,Unclassified
