,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU3121,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3122,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3123,k__Fungi,p__Ascomycota,c__Dothideomycetes,Unclassified,Unclassified,g__Catenulomyces,s__Catenulomyces convolutus
OTU3124,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3125,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3126,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,Unclassified,Unclassified
OTU3127,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3128,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3129,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3130,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3131,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3132,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3133,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3134,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3135,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3136,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3137,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3138,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3139,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3140,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,Unclassified
OTU3141,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3142,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,Unclassified,Unclassified,Unclassified
OTU3143,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3144,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3145,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3146,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3147,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Leptobacillium,s__Leptobacillium chinense
OTU3148,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3149,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Trichocladium,s__Trichocladium arxii
OTU3150,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Acidomyces,Unclassified
OTU3151,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3152,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,Unclassified
OTU3153,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3154,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3155,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3156,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3157,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3158,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,Unclassified,Unclassified
OTU3159,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3160,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Arrhenia,Unclassified
OTU3161,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3162,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3163,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3164,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Delonicicolales,f__Delonicicolaceae,g__Furfurella,Unclassified
OTU3165,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3166,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3167,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3168,k__Fungi,p__Chytridiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3169,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3170,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3171,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3172,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3173,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3174,k__Fungi,p__Blastocladiomycota,c__Blastocladiomycetes,o__Blastocladiales,Unclassified,Unclassified,Unclassified
OTU3175,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3176,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3177,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3178,k__Ichthyosporia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3179,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,Unclassified,Unclassified,Unclassified
OTU3180,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3181,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Ganodermataceae,g__Ganoderma,s__Ganoderma sessile
OTU3182,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Paecilomyces,s__Paecilomyces variotii
OTU3183,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3184,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,f__Caliciaceae,g__Buellia,s__Buellia griseovirens
OTU3185,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,Unclassified,Unclassified
OTU3186,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,Unclassified,Unclassified
OTU3187,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Cladorrhinum,s__Cladorrhinum flexuosum
OTU3188,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3189,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3190,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3191,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3192,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3193,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3194,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3195,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3196,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Coniochaeta,Unclassified
OTU3197,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3198,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3199,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3200,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3201,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3202,k__Fungi,p__Aphelidiomycota,c__Aphelidiomycetes,o__Aphelidiales,Unclassified,g__Amoeboaphelidium,Unclassified
OTU3203,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium salamorum
OTU3204,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Debaryomycetaceae,g__Debaryomyces,s__Debaryomyces delbrueckii
OTU3205,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3206,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3207,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,Unclassified
OTU3208,k__Ichthyosporia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3209,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3210,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3211,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella microzygospora
OTU3212,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,Unclassified
OTU3213,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3214,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3215,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3216,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Erysiphales,f__Erysiphaceae,g__Blumeria,Unclassified
OTU3217,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Scedosporium,s__Scedosporium prolificans
OTU3218,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Geosmithia,Unclassified
OTU3219,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,Unclassified,f__Symmetrosporaceae,g__Symmetrospora,Unclassified
OTU3220,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3221,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Capnodiaceae,g__Chaetocapnodium,Unclassified
OTU3222,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3223,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,Unclassified,g__Leptodiscella,Unclassified
OTU3224,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3225,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3226,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3227,k__Fungi,p__Blastocladiomycota,c__Blastocladiomycetes,o__Blastocladiales,Unclassified,Unclassified,Unclassified
OTU3228,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3229,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3230,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3231,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3232,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3233,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3234,k__Fungi,p__Basidiomycota,c__Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU3235,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3236,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3237,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3238,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3239,k__Fungi,p__Ascomycota,c__Eurotiomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU3240,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3241,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3242,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3243,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Dipodascaceae,g__Geotrichum,s__Geotrichum candidum
OTU3244,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3245,k__Choanoflagellozoa,p__Choanoflagellata,Unclassified,o__Choanoflagellida,Unclassified,Unclassified,Unclassified
OTU3246,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3247,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3248,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Neopyrenochaetaceae,g__Neopyrenochaeta,s__Neopyrenochaeta maesuayensis
OTU3249,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Rhizopodaceae,g__Rhizopus,s__Rhizopus arrhizus
OTU3250,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Sirobasidiaceae,g__Fibulobasidium,s__Fibulobasidium inconspicuum
OTU3251,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3252,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3253,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,Unclassified
OTU3254,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Heydenia,Unclassified
OTU3255,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3256,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium restingae
OTU3257,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3258,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__Coprinellus ephemerus
OTU3259,k__Fungi,p__Kickxellomycota,c__Ramicandelaberomycetes,o__Ramicandelaberales,f__Ramicandelaberaceae,g__Ramicandelaber,Unclassified
OTU3260,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3261,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3262,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3263,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__Endogonales,Unclassified,Unclassified,Unclassified
OTU3264,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3265,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU3266,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3267,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3268,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3269,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3270,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Pseudothielavia,s__Pseudothielavia arxii
OTU3271,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__Conocybe apala
OTU3272,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3273,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3274,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3275,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3276,k__Rhizaria,p__Cercozoa,Unclassified,o__Thaumatomonadida,f__Thaumatomastigidae,g__Thaumatomonas,Unclassified
OTU3277,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,Unclassified,Unclassified,Unclassified
OTU3278,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3279,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3280,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3281,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella elongatula
OTU3282,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3283,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Ochroconis,Unclassified
OTU3284,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,Unclassified,Unclassified,Unclassified
OTU3285,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,s__Myrmecridium thailandicum
OTU3286,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3287,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3288,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU3289,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,Unclassified,Unclassified,Unclassified
OTU3290,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3291,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,Unclassified,Unclassified
OTU3292,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Chrysosporium,s__Chrysosporium shanxiense
OTU3293,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,Unclassified
OTU3294,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,Unclassified
OTU3295,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,Unclassified,Unclassified
OTU3296,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,Unclassified,Unclassified,Unclassified
OTU3297,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,Unclassified,Unclassified,Unclassified
OTU3298,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3299,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3300,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU3301,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3302,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3303,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3304,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3305,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__Endogonales,Unclassified,Unclassified,Unclassified
OTU3306,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3307,k__Choanoflagellozoa,p__Choanoflagellata,Unclassified,o__Choanoflagellida,Unclassified,Unclassified,Unclassified
OTU3308,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3309,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3310,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3311,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Tylosporaceae,g__Amphinema,Unclassified
OTU3312,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Tulostoma,Unclassified
OTU3313,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3314,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Platygloeales,f__Eocronartiaceae,g__Eocronartium,Unclassified
OTU3315,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3316,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascodesmidaceae,Unclassified,Unclassified
OTU3317,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,Unclassified
OTU3318,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3319,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3320,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Pseudallescheria,Unclassified
OTU3321,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3322,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3323,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3324,k__Fungi,p__Blastocladiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3325,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3326,k__Fungi,p__Basidiomycota,c__Wallemiomycetes,o__Wallemiales,f__Wallemiaceae,g__Wallemia,s__Wallemia peruviensis
OTU3327,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3328,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3329,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3330,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3331,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3332,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU3333,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Microdominikia,Unclassified
OTU3334,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Parasola,s__Parasola setulosa
OTU3335,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3336,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,Unclassified,Unclassified,Unclassified
OTU3337,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3338,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Xenomonodictys,s__Xenomonodictys iranica
OTU3339,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3340,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,Unclassified,Unclassified
OTU3341,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3342,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3343,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3344,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,Unclassified
OTU3345,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cryptococcaceae,g__Kwoniella,s__Kwoniella mangrovensis
OTU3346,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3347,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU3348,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,s__Capronia leucadendri
OTU3349,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Pichiaceae,g__Pichia,s__Pichia membranifaciens
OTU3350,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3351,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Lulworthiales,f__Lulworthiaceae,Unclassified,Unclassified
OTU3352,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3353,k__Ichthyosporia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3354,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3355,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Pichiaceae,g__Pichia,s__Pichia membranifaciens
OTU3356,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,Unclassified,Unclassified,Unclassified
OTU3357,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3358,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,g__Calvatia,s__Calvatia cyathiformis
OTU3359,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Stephanosporaceae,g__Cristinia,Unclassified
OTU3360,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3361,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3362,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3363,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3364,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3365,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
